"全国地方公共団体コード","ID","地方公共団体名","名称","名称_カナ","名称_英字","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等(方書)","緯度","経度","高度の種別","高度の値","設置位置","電話番号","内線番号","連絡先メールアドレス","連絡先FormURL","連絡先備考（その他、SNSなど）","郵便番号","法人番号","団体名","利用可能曜日","開始時間","終了時間","利用可能日時特記事項","小児対応設備の有無","URL","画像1","画像1_ライセンス","画像2","画像2_ライセンス","外部利用不可","備考"
"131083","131083700001","江東区","有明西学園","アリアケニシガクエン","","131083","","東京都江東区有明1-7-13","東京都","江東区","有明1丁目","7-13","","35.637038","139.784381","","","西玄関・東玄関","(03)3527-6401","","","","","1350063","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700002","江東区","有明スポーツセンター","アリアケスポーツセンター","","131083","","東京都江東区有明2-3-5","東京都","江東区","有明2丁目","3-5","","35.633206","139.783810","階数;階数","6;3","A棟6F;B棟3F","(03)3528-0191","","","","","1350063","6000020131083","","月火水木金土日","08:30:00","22:00:00","休館日等除く","","","","","","","",""
"131083","131083700003","江東区","有明小学校","アリアケショウガッコウ","","131083","","東京都江東区有明2-10-1","東京都","江東区","有明2丁目","10-1","","35.640466","139.795945","階数","1","１階正面玄関","(03)3527-5101","","","","","1350063","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700004","江東区","有明中学校","アリアケチュウガッコウ","","131083","","東京都江東区有明2-10-1","東京都","江東区","有明2丁目","10-1","","35.640432","139.795970","階数","1","１階玄関昇降口","(03)3527-8261","","","","","1350063","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700005","江東区","扇橋小学校","オウギバシショウガッコウ","","131083","","東京都江東区石島18-5","東京都","江東区","石島","18-5","","35.681289","139.811726","階数","1","1階正面玄関","(03)3647-0571","","","","","1350014","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700006","江東区","深川南部保健相談所","フカガワナンブホケンソウダンジョ","","131083","","東京都江東区枝川1-8-15-102","東京都","江東区","枝川1丁目","8-15-102","","35.657410","139.801936","階数","1","１階廊下階段付近","(03)5632-2291","","","","","1350051","6000020131083","","月火水木金","08:30:00","17:00:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700007","江東区","枝川幼稚園","エダガワヨウチエン","","131083","","東京都江東区枝川3-4-1-101","東京都","江東区","枝川3丁目","4-1-101","","35.659457","139.808627","階数","1","1階職員室 テラス側","(03)3615-1333","","","","","1350051","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700008","江東区","枝川小学校","エダガワショウガッコウ","","131083","","東京都江東区枝川3-5-3","東京都","江東区","枝川3丁目","5-3","","35.659637","139.809200","階数","1","1階正面玄関","(03)3644-4941","","","","","1350051","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700009","江東区","枝川区民館","エダガワクミンカン","","131083","","東京都江東区枝川3-6-16","東京都","江東区","枝川3丁目","6-16","","35.658283","139.810623","階数","1","１Fホール","(03)3647-6852","","","","","1350051","6000020131083","","火水木金土日","08:30:00","17:00:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700010","江東区","深川スポーツセンター","フカガワスポーツセンター","","131083","","東京都江東区越中島1-2-18","東京都","江東区","越中島1丁目","2-18","","35.670460","139.791710","階数","1","１Fロビー;事務所","(03)3820-5881","","","","","1350044","6000020131083","","月火水木金土日","08:30:00","22:00:00","休館日等除く","","","","","","","",""
"131083","131083700011","江東区","越中島プール","エッチュウジマプール","","131083","","東京都江東区越中島1-3-23","東京都","江東区","越中島1丁目","3-23","","35.668757","139.789629","","","監視室","(03)5620-0045","","","","","1350044","6000020131083","","月火水木金土日","10:00:00","18:00:00","プール開設日（7月上旬から９月上旬）","","","","","","","",""
"131083","131083700012","江東区","越中島小学校","エッチュウジマショウガッコウ","","131083","","東京都江東区越中島3-6-38","東京都","江東区","越中島3丁目","6-38","","35.665863","139.796232","階数","1","1階中央玄関","(03)3643-9650","","","","","1350044","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700013","江東区","深川第三中学校","フカガワダイサンチュウガッコウ","","131083","","東京都江東区越中島3-7-1","東京都","江東区","越中島3丁目","7-1","","35.666455","139.795588","階数","1","1階正面玄関","(03)3641-5948","","","","","1350044","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700014","江東区","小松橋出張所","コマツバシシュッチョウジョ","","131083","","東京都江東区扇橋2-1-5","東京都","江東区","扇橋2丁目","1-5","","35.682687","139.814261","階数","1","１Fホール","(03)5606-5581","","","","","1350011","6000020131083","","月火水木金","08:30:00","17:00:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700015","江東区","障害者福祉センター","ショウガイシャフクシセンター","","131083","","東京都江東区扇橋3-7-2","東京都","江東区","扇橋3丁目","7-2","","35.682729","139.820344","階数","1","１F受付","(03)3699-0316","","","","","1350011","6000020131083","","月火水木金土日","09:00:00","17:00:00","祝日年末年始第２・４日曜除く","","","","","","","",""
"131083","131083700016","江東区","つばめ幼稚園","ツバメヨウチエン","","131083","","東京都江東区扇橋3-20-13-101","東京都","江東区","扇橋3丁目","20-13-101","","35.684364","139.818924","階数","1","1階正面玄関","(03)3649-1841","","","","","1350011","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700017","江東区","男女共同参画推進センター","ダンジョキョウドウサンカクスイシンセンター","","131083","","東京都江東区扇橋3-22-2","東京都","江東区","扇橋3丁目","22-2","","35.684130","139.820160","階数","1","１Fホール","(03)5683-0341","","","","","1350011","6000020131083","","月火水木金土日","09:00:00","22:00:00","年末年始第2・4月曜除く","","","","","","","",""
"131083","131083700018","江東区","第一大島小学校","ダイイチオオジマショウガッコウ","","131083","","東京都江東区大島2-41-4","東京都","江東区","大島2丁目","41-4","","35.689920","139.825602","階数","1","1階正面玄関","(03)3684-4312","","","","","1360072","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700019","江東区","城東保健相談所","ジョウトウホケンソウダンジョ","","131083","","東京都江東区大島3-1-3","東京都","江東区","大島3丁目","1-3","","35.689997","139.827632","階数","1","１階診察室入り口","(03)3637-6521","","","","","1360072","6000020131083","","月火水木金","08:30:00","17:00:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700020","江東区","第二大島小学校","ダイニオオジマショウガッコウ","","131083","","東京都江東区大島3-16-2","東京都","江東区","大島3丁目","16-2","","35.690175","139.829854","階数","1","1階第一玄関","(03)3684-4315","","","","","1360072","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700021","江東区","第二大島中学校","ダイニオオジマチュウガッコウ","","131083","","東京都江東区大島3-27-18","東京都","江東区","大島3丁目","27-18","","35.691654","139.831116","階数","1","1階来賓職員玄関","(03)3685-1681","","","","","1360072","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700022","江東区","大島西中学校","オオジマニシチュウガッコウ","","131083","","東京都江東区大島4-1-23","東京都","江東区","大島4丁目","1-23","","35.686324","139.827748","階数","1","1階正面玄関","(03)3636-4591","","","","","1360072","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700023","江東区","大島子ども家庭支援センター","オオジマコドモカテイシエンセンター","","131083","","東京都江東区大島4-1-37","東京都","江東区","大島4丁目","1-37","","35.687359","139.828182","階数","2","２階 事務室","(03)5836-1621","","","","","1360072","6000020131083","","月火水木金土","09:00:00","18:00:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700024","江東区","大島第二保育園","オオジマダイニホイクエン","","131083","","東京都江東区大島4-1-6-130","東京都","江東区","大島4丁目","1-6-130","","35.687102","139.830333","","","事務室","(03)3685-6059","","","","","1360072","6000020131083","","月火水木金土","07:30:00","19:30:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700025","江東区","総合区民センター","ソウゴウクミンセンター","","131083","","東京都江東区大島4-5-1","東京都","江東区","大島4丁目","5-1","","35.689028","139.826985","階数","2","2F展示ホール","(03)3637-2261","","","","","1360072","6000020131083","","月火水木金土日","08:30:00","22:00:00","年末年始第2・4月曜除く","","","","","","","",""
"131083","131083700026","江東区","大島福祉会館","オオジマフクシカイカン","","131083","","東京都江東区大島4-5-1総合区民センター3F","東京都","江東区","大島4丁目","5-1 総合区民センター3F","","35.689028","139.826985","","","事務室内受付窓口","(03)3637-2581","","","","","1360072","6000020131083","","月火水木金土日","09:00:00","18:00:00","第２・４日曜・祝日・年末年始除く","","","","","","","",""
"131083","131083700027","江東区","大島南央小学校","オオジマナンオウショウガッコウ","","131083","","東京都江東区大島4-18-5","東京都","江東区","大島4丁目","18-5","","35.687240","139.831702","階数","1","1階正面玄関","(03)3636-2116","","","","","1360072","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700028","江東区","大島第五保育園","オオジマダイゴホイクエン","","131083","","東京都江東区大島4-21-3-101","東京都","江東区","大島4丁目","21-3-101","","35.686198","139.832066","","","玄関","(03)3637-0464","","","","","1360072","6000020131083","","月火水木金土","07:30:00","20:30:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700029","江東区","シルバー人材センター大島作業所","シルバージンザイセンターオオジマサギョウショ","","131083","","東京都江東区大島5-21-14","東京都","江東区","大島5丁目","21-14","","35.685944","139.833237","","","作業所内","(03)3649-3533","","","","","1360072","6000020131083","","月火水木金","09:00:00","16:00:00","作業日に限る","","","","","","","",""
"131083","131083700030","江東区","大島幼稚園","オオジマヨウチエン","","131083","","東京都江東区大島5-38-1","東京都","江東区","大島5丁目","38-1","","35.687186","139.835941","階数","1","1階玄関","(03)3684-3396","","","","","1360072","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700031","江東区","大島保育園","オオジマホイクエン","","131083","","東京都江東区大島5-40-4-1F","東京都","江東区","大島5丁目","40-4-1F","","35.686947","139.837372","","","事務室","(03)3681-9026","","","","","1360072","6000020131083","","月火水木金土","07:30:00","19:30:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700032","江東区","大島第三保育園","オオジマダイサンホイクエン","","131083","","東京都江東区大島6-1-6-130","東京都","江東区","大島6丁目","1-6-130","","35.693436","139.833229","","","事務室","(03)3685-9091","","","","","1360072","6000020131083","","月火水木金土","07:30:00","19:30:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700033","江東区","第四大島小学校","ダイヨンオオジマショウガッコウ","","131083","","東京都江東区大島6-7-8","東京都","江東区","大島6丁目","7-8","","35.690983","139.834440","階数","1","1階東玄関","(03)3681-9935","","","","","1360072","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700034","江東区","大島高齢者在宅サービスセンター","オオジマコウレイシャザイタクサービスセンター","","131083","","東京都江東区大島6-14-4-103","東京都","江東区","大島6丁目","14-4-103","","35.693000","139.836305","階数","1","１F医務室内","(03)3638-4511","","","","","1360072","6000020131083","","月火水木金土","08:45:00","17:45:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700035","江東区","大島児童館","オオジマジドウカン","","131083","","東京都江東区大島7-28-1-104","東京都","江東区","大島7丁目","28-1-104","","35.693272","139.840249","","","事務室","(03)3682-9494","","","","","1360072","6000020131083","","火水木金土日","09:00:00","17:00:00","祝日年末年始第１・３・５日曜除く","","","","","","","",""
"131083","131083700036","江東区","第三大島幼稚園","ダイサンオオジマヨウチエン","","131083","","東京都江東区大島7-39-2-101","東京都","江東区","大島7丁目","39-2-101","","35.691363","139.843753","階数","1","1階正面玄関 左側","(03)3685-5945","","","","","1360072","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700037","江東区","大島第四保育園","オオジマダイヨンホイクエン","","131083","","東京都江東区大島8-12-20-101","東京都","江東区","大島8丁目","12-20-101","","35.687262","139.838939","","","事務室","(03)3685-7471","","","","","1360072","6000020131083","","月火水木金土","07:30:00","19:30:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700038","江東区","大島中学校","オオジマチュウガッコウ","","131083","","東京都江東区大島8-12-22","東京都","江東区","大島8丁目","12-22","","35.686446","139.839616","階数","1","１階主事室前","(03)3684-4321","","","","","1360072","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700039","江東区","東大島文化センター","ヒガシオオジマブンカセンター","","131083","","東京都江東区大島8-33-9","東京都","江東区","大島8丁目","33-9","","35.689781","139.842444","階数","1","1Fロビー(事務所窓口脇)","(03)3681-6331","","","","","1360072","6000020131083","","月火水木金土日","09:00:00","22:00:00","年末年始第1・3月曜除く","","","","","","","",""
"131083","131083700040","江東区","第五大島小学校","ダイゴオオジマショウガッコウ","","131083","","東京都江東区大島8-40-13","東京都","江東区","大島8丁目","40-13","","35.688344","139.844480","階数","1","1階正面玄関 主事室前","(03)3681-5011","","","","","1360072","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700041","江東区","中川船番所資料館","ナカガワフナバンショシリョウカン","","131083","","東京都江東区大島9-1-15","東京都","江東区","大島9丁目","1-15","","35.687677","139.846285","階数","1","1Fロビー","(03)3636-9091","","","","","1360072","6000020131083","","火水木金土日","08:30:00","17:00:00","年末年始除く","","","","","","","",""
"131083","131083700042","江東区","東大島図書館","ヒガシオオジマトショカン","","131083","","東京都江東区大島9-4-2-101","東京都","江東区","大島9丁目","4-2-101","","35.690997","139.845787","階数","1","１階カウンター","(03)3681-4646","","","","","1360072","6000020131083","","月火水木金土日","09:00:00","20:00:00","日曜祝日は19:00,年末年始休館日除く","","","","","","","",""
"131083","131083700043","江東区","第三大島小学校","ダイサノオジマショウガッコウ","","131083","","東京都江東区大島9-5-3","東京都","江東区","大島9丁目","5-3","","35.692591","139.845092","階数","1","1階正面玄関 主事室前","(03)3681-9204","","","","","1360072","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700044","江東区","きっずクラブ三大","キッズクラブサンダイ","","131083","","東京都江東区大島9-6-17","東京都","江東区","大島9丁目","6-17","","35.692829","139.844086","","","事務室","(03)5626-6921","","","","","1360072","6000020131083","","月火水木金","15:00:00","19:00:00","学校休業日・土8:30-17:00","","","","","","","",""
"131083","131083700045","江東区","わかば保育園","ワカバホイクエン","","131083","","東京都江東区大島9-7-8-101","東京都","江東区","大島9丁目","7-8-101","","35.694110","139.844293","","","事務室","(03)3682-1461","","","","","1360072","6000020131083","","月火水木金土","07:30:00","19:30:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700046","江東区","川の駅","カワノエキ","","131083","","東京都江東区大島9-10","東京都","江東区","大島9丁目","10","","35.687687","139.846786","","","にぎわい施設","(03)5858-8430","","","","","1360072","6000020131083","","土日","11:00:00","16:00:00","施設営業日","","","","","","","",""
"131083","131083700047","江東区","第三亀戸中学校","ダイサンカメイドチュウガッコウ","","131083","","東京都江東区亀戸1-12-10","東京都","江東区","亀戸1丁目","12-10","","35.695158","139.821210","階数","2","2階職員室前 廊下","(03)3684-4320","","","","","1360071","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700048","江東区","亀戸福祉会館","カメイドフクシカイカン","","131083","","東京都江東区亀戸1-24-6","東京都","江東区","亀戸1丁目","24-6","","35.694672","139.824059","階数","2","2F事務室","(03)3685-8208","","","","","1360071","6000020131083","","月火水木金土日","09:00:00","18:00:00","第２・４日曜・祝日・年末年始除く","","","","","","","",""
"131083","131083700049","江東区","亀戸第三保育園","カメイドダイサンホイクエン","","131083","","東京都江東区亀戸1-24-6","東京都","江東区","亀戸1丁目","24-6","","35.694722","139.824267","","","事務室","(03)3685-2883","","","","","1360071","6000020131083","","月火水木金土","07:30:00","19:30:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700050","江東区","亀戸児童館","カメイドジドウカン","","131083","","東京都江東区亀戸2-1-19","東京都","江東区","亀戸2丁目","1-19","","35.697753","139.821688","","","事務室","(03)3685-5944","","","","","1360071","6000020131083","","月火水木金土日","09:00:00","18:00:00","祝日年末年始第2・4日曜除く","","","","","","","",""
"131083","131083700051","江東区","第一亀戸小学校","ダイイチカメイドショウガッコウ","","131083","","東京都江東区亀戸2-5-7","東京都","江東区","亀戸2丁目","5-7","","35.698850","139.822237","階数","1","1階玄関 主事室横","(03)3684-4300","","","","","1360071","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700052","江東区","第一亀戸幼稚園","ダイイチカメイドヨウチエン","","131083","","東京都江東区亀戸2-5-7","東京都","江東区","亀戸2丁目","5-7","","35.698850","139.822236","階数","1","１階正面玄関 職員室前","(03)3685-8227","","","","","1360071","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700053","江東区","亀戸文化センター","カメイドブンカセンター","","131083","","東京都江東区亀戸2-19-1","東京都","江東区","亀戸2丁目","19-1","","35.697648","139.824521","階数;階数","1;3","1Fロビー;3Fホールロビー","(03)5626-2121","","","","","1360071","6000020131083","","月火水木金土日","09:00:00","22:00:00","年末年始第2・4月曜除く","","","","","","","",""
"131083","131083700054","江東区","亀戸高齢者在宅サービスセンター","カメイドコウレイシャザイタクサービスセンター","","131083","","東京都江東区亀戸4-21-13","東京都","江東区","亀戸4丁目","21-13","","35.702610","139.826622","階数","3","３F事務室内","(03)5626-0130","","","","","1360071","6000020131083","","月火水木金土","08:45:00","17:45:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700055","江東区","亀戸第四保育園","カメイドダイヨンホイクエン","","131083","","東京都江東区亀戸4-21-13","東京都","江東区","亀戸4丁目","21-13","","35.702614","139.826605","階数","1","1F職員室内","(03)3685-2884","","","","","1360071","6000020131083","","月火水木金土","07:30:00","20:30:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700056","江東区","香取小学校","カトリショウガッコウ","","131083","","東京都江東区亀戸4-26-22","東京都","江東区","亀戸4丁目","26-22","","35.703857","139.826111","階数","1","1階正面玄関 主事室前","(03)3684-4306","","","","","1360071","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700057","江東区","第二亀戸中学校","ダイニカメイドチュウガッコウ","","131083","","東京都江東区亀戸4-51-1","東京都","江東区","亀戸4丁目","51-1","","35.702625","139.832428","階数","1","1階玄関 主事室前","(03)3681-7906","","","","","1360071","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700058","江東区","水神小学校","スイジンショウガッコウ","","131083","","東京都江東区亀戸5-22-22","東京都","江東区","亀戸5丁目","22-22","","35.700074","139.828514","階数","1","1階正面玄関 主事室前","(03)3681-1952","","","","","1360071","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700059","江東区","竪川河川敷公園","タテカワカセンジキコウエン","","131083","","東京都江東区亀戸6-33-10","東京都","江東区","亀戸6丁目","33-10","","35.694050","139.829866","","","管理事務所","(03)5875-2319","","","","","1360071","6000020131083","","月火水木金土日","09:00:00","21:00:00","年末年始除く","","","","","","","",""
"131083","131083700060","江東区","第二亀戸小学校","ダイニカメイドショウガッコウ","","131083","","東京都江東区亀戸6-36-1","東京都","江東区","亀戸6丁目","36-1","","35.695575","139.830577","階数","1","1階正面玄関 柱時計下","(03)3684-4303","","","","","1360071","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
