都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,説明,バリアフリー情報,URL,備考,郵便番号,アクセス方法,駐車場_有無,駐車場情報,料金_要否,料金(基本),料金(詳細),利用条件_有無,利用条件_詳細,託児所_有無,託児所_詳細,画像,画像_ライセンス,画像_詳細,最終確認日
131083,1,東京都,江東区,江東図書館,コウトウトショカン,,1512a,江東区南砂6-7-52,,35.67186612,139.8342705,(03)3640-3151,,,,月火水木金土日,9:00,20:00,日曜日・祝日・休日・12/28は19時まで。毎月第3金曜日（祝日・休日の場合はその月の第3木曜日）及び1/4、年末年始（12/29～1/3）は休館（他に4日程度特別整理期間で休館あり）。,,エレベータ・スロープ・多目的トイレ・障害者用駐車場有,https://www.city.koto.lg.jp/586011/shisetsuannai/kyoiku/toshokan/14076.html,,136-0076 ,東京メトロ東西線・南砂町駅(徒歩6分)・都バス亀21「南砂6丁目」(徒歩2分)・ 亀23「南砂3丁目みどり団地」(徒歩5分),0,,0,,,,,,,https://www.koto-lib.tokyo.jp/tabid90.html,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,,2021/6/14
131083,2,東京都,江東区,深川図書館,フカガワトショカン,,1512a,江東区清澄3-3-39,,35.67932336,139.796691,(03)3641-0062,,,,月火水木金土日,9:00,20:00,日曜日・祝日・休日・12/28は19時まで。毎月第3金曜日（祝日・休日の場合はその月の第3木曜日）及び1/4、年末年始（12/29～1/3）は休館（他に3日程度特別整理期間で休館あり）。,,エレベータ・スロープ・多目的トイレ有,https://www.city.koto.lg.jp/585010/shisetsuannai/kyoikukanren/toshokan/14077.html,,135-0024 ,東京メトロ 半蔵門線・都営地下鉄 大江戸線 清澄白河駅(徒歩7分) ・都バス「平野1丁目」(徒歩3分) ,0,,0,,,,,,,https://www.koto-lib.tokyo.jp/tabid92.html　,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,,2021/6/14
131083,4,東京都,江東区,東陽図書館,トウヨウトショカン,,1512a,江東区東陽2-3-6,教育センター１階,35.66735917,139.8169985,(03)3644-6121,,,,月火水木金土日,9:00,21:00,日曜日・祝日・休日・12/28は19時まで。毎月第3金曜日（祝日・休日の場合はその月の第3木曜日）及び1/4、年末年始（12/29～1/3）は休館（他に3日程度特別整理期間で休館あり）。,,スロープ・多目的トイレ有,https://www.city.koto.lg.jp/586010/shisetsuannai/kyoiku/toshokan/14078.html,,135-0016,東京メトロ東西線東陽町駅(徒歩5分)・都バス「東陽町駅」(徒歩5分),1,有料（改修工事に伴い使用できない期間有）,0,,,,,,,https://www.koto-lib.tokyo.jp/tabid94.html,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,,2021/6/14
131083,5,東京都,江東区,豊洲図書館,トヨストショカン,,1512a,江東区豊洲2-2-18,豊洲シビックセンター9・10階・11階の一部,35.65437029,139.7953779,(03)3536-5931,,,,月火水木金土日,9:00,21:00,日曜日・祝日・休日・12/28は19時まで。毎月第3金曜日（祝日・休日の場合はその月の第3木曜日）及び1/4、年末年始（12/29～1/3）は休館（他に3日程度特別整理期間で休館あり）。,,エレベータ・多目的トイレ有,https://www.city.koto.lg.jp/586010/shisetsuannai/kyoiku/toshokan/14079.html,,135-0061,東京メトロ有楽町線豊洲駅（徒歩1分）・ゆりかもめ豊洲駅（改札フロア直結）・都営バス「豊洲駅前」（徒歩2分）,1,有料,0,,,,,,,https://www.koto-lib.tokyo.jp/tabid96.html　,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,,2021/6/14
131083,6,東京都,江東区,東雲図書館,シノノメトショカン,,1512a,江東区東雲2-7-5-201,トミンタワー東雲2階,35.64385175,139.8053005,(03)3529-1141,,,,月火水木金土日,9:00,20:00,日曜日・祝日・休日・12/28は19時まで。毎月第3金曜日（祝日・休日の場合はその月の第3木曜日）及び1/4、年末年始（12/29～1/3）は休館（他に3日程度特別整理期間で休館あり）。,,エレベータ・スロープ・多目的トイレ・障害者用駐車場有,https://www.city.koto.lg.jp/586010/shisetsuannai/kyoiku/toshokan/14080.html,,135-0062 ,りんかい線東雲駅（徒歩10分）・東京メトロ有楽町線 辰巳駅（徒歩10分）・都バス「深川車庫」(徒歩5分),0,,0,,,,,,,https://www.koto-lib.tokyo.jp/tabid98.html　,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,,2021/6/14
131083,7,東京都,江東区,古石場図書館,フルイシバトショカン,,1512a,江東区古石場2-13-2,古石場文化センター4階,35.667,139.799022,(03)5245-3101,,,,月火水木金土日,9:00,20:00,日曜日・祝日・休日・12/28は19時まで。毎月第1・3月曜日（祝日・休日の場合は開館）、第3金曜日（祝日・休日の場合はその月の第3木曜日）及び1/4、年末年始（12/29～1/3）は休館（他に3日程度特別整理期間で休館あり）。,,エレベータ・スロープ・多目的トイレ有,https://www.city.koto.lg.jp/586010/shisetsuannai/kyoiku/toshokan/14081.html,,135-0045,東京メトロ東西線 門前仲町駅 (徒歩11分)・都バス「富岡1丁目」 (徒歩10分),1,有料,0,,,,,,,https://www.koto-lib.tokyo.jp/tabid100.html,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,,2021/6/14
131083,8,東京都,江東区,城東図書館,ジョウトウトショカン,,1512a,江東区大島4-5-1,総合区民センター4階,35.6892456,139.8269473,(03)3637-2751,,,,月火水木金土日,9:00,21:00,日曜日・祝日・休日・12/28は19時まで。毎月第3金曜日（祝日・休日の場合はその月の第3木曜日）及び1/4、年末年始（12/29～1/3）は休館（他に3日程度特別整理期間で休館あり）。,,エレベータ・スロープ・多目的トイレ・障害者用駐車場有,https://www.city.koto.lg.jp/586010/shisetsuannai/kyoiku/toshokan/14082.html,,136-0072 ,都営新宿線 西大島駅(徒歩1分)・都バス「西大島駅前」(徒歩1分),1,有料（30分までは無料）,0,,,,,,,https://www.koto-lib.tokyo.jp/tabid102.html,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,,2021/6/14
131083,9,東京都,江東区,亀戸図書館,カメイドトショカン,,1512a,江東区亀戸7-39-9,,35.69731091,139.8393442,(03)3636-6061,,,,月火水木金土日,9:00,20:00,日曜日・祝日・休日・12/28は19時まで。毎月第3金曜日（祝日・休日の場合はその月の第3木曜日）及び1/4、年末年始（12/29～1/3）は休館（他に3日程度特別整理期間で休館あり）。,,エレベータ・多目的トイレ・障害者用駐車場有,https://www.city.koto.lg.jp/586010/shisetsuannai/kyoiku/toshokan/14083.html,,136-0071 ,JR総武線 亀戸駅(徒歩15分) 都バス 亀26「今井行」乗車「亀戸9丁目」(徒歩1分),0,,0,,,,,,,https://www.koto-lib.tokyo.jp/tabid104.html,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,,2021/6/14
131083,10,東京都,江東区,砂町図書館,スナマチトショカン,,1512a,江東区北砂5-1-7,砂町文化センター1階,35.68056135,139.8321093,(03)3640-4646,,,,月火水木金土日,9:00,20:00,日曜日・祝日・休日・12/28は19時まで。毎月第1・3月曜日（祝日・休日の場合は開館）、第3金曜日（祝日・休日の場合はその月の第3木曜日）及び1/4、年末年始（12/29～1/3）は休館（他に3日程度特別整理期間で休館あり）。,,スロープ・多目的トイレ有,https://www.city.koto.lg.jp/586010/shisetsuannai/kyoiku/toshokan/14084.html,,136-0073,都営新宿線西大島駅(徒歩20分)・都バス「北砂2丁目」「北砂3丁目」「北砂4丁目」「北砂5丁目」「北砂7丁目」(各徒歩10分),1,有料,0,,,,,,,https://www.koto-lib.tokyo.jp/tabid106.html,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,,2021/6/14
131083,11,東京都,江東区,東大島図書館,ヒガシオオジマトショカン,,1512a,江東区大島9-4-2-101,東大島ファミールハイツ1階,35.69117147,139.8458505,(03)3681-4646,,,,月火水木金土日,9:00,20:00,日曜日・祝日・休日・12/28は19時まで。毎月第3金曜日（祝日・休日の場合はその月の第3木曜日）及び1/4、年末年始（12/29～1/3）は休館（他に3日程度特別整理期間で休館あり）。,,スロープ・多目的トイレ有,https://www.city.koto.lg.jp/586010/shisetsuannai/kyoiku/toshokan/14085.html,,136-0072,都営新宿線 東大島駅(徒歩2分)・都バス「東大島駅」(徒歩2分),0,,0,,,,,,,https://www.koto-lib.tokyo.jp/tabid108.html,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,,2021/6/14
131083,12,東京都,江東区,枝川図書サービスコーナー,エダガワトショサービスコーナー,,1512a,江東区枝川3-6-16,枝川区民館1階,35.65874087,139.81,(03)3647-6860,,,,火水木金土日,9:00,17:00,毎週月曜日・毎月第3金曜日・祝日・休日・枝川区民館休館日・及び1/4、年末年始（12/29～1/3）は休館。,,スロープ・多目的トイレ有,https://www.city.koto.lg.jp/586011/shisetsuannai/kyoiku/toshokan/57786.html,,135-0051,都バス「枝川2丁目」（徒歩2分）,0,,0,,,,,,,https://www.koto-lib.tokyo.jp/tabid112.html　,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,,2021/6/14
131083,13,東京都,江東区,こどもプラザ図書館,コドモプラザトショカン,,1512a,江東区住吉1-9-8,こどもプラザ内,35.68761,139.81235,(03)5600-3885,,,,月火水木金土日,9:00,20:00,日曜日・祝日・休日・12/28は19時まで。毎月第3金曜日（祝日・休日の場合はその月の第3木曜日）及び1/4、年末年始（12/29～1/3）は休館（他に3日程度特別整理期間で休館あり）。,,スロープ・エレベータ・多目的トイレ有,https://www.city.koto.lg.jp/586010/shisetsuannai/kyoiku/toshokan/14086.html,,135-0002,東京メトロ半蔵門線・都営新宿線 住吉駅(徒歩7分)・都バス「住吉駅前」(徒歩7分)・都バス「住吉1丁目」(徒歩3分),0,,0,,,,,,,https://www.koto-lib.tokyo.jp/tabid521.html,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,,
,,,,,,,,,,　,,,,,,,,,,,,,,,,,,,,,,,,,,,,
